"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2261","Check Accessibility exclude Element","Mobile Chrome","Fri Jul 04 15:18:45 WIB 2025","failed","Fri Jul 04 15:18:48 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","6209","Check Accessibility on Element","chromium","Fri Jul 04 15:18:35 WIB 2025","failed","Fri Jul 04 15:18:41 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","6223","Check Accessibility Entire Page","chromium","Fri Jul 04 15:18:35 WIB 2025","failed","Fri Jul 04 15:18:41 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","954","login failed","chromium","Fri Jul 04 15:18:42 WIB 2025","passed","Fri Jul 04 15:18:43 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","4986","Check Accessibility with disable rules","chromium","Fri Jul 04 15:18:42 WIB 2025","failed","Fri Jul 04 15:18:47 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","258","login failed","Mobile Chrome","Fri Jul 04 15:18:50 WIB 2025","passed","Fri Jul 04 15:18:50 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","6578","Check Accessibility with tags","chromium","Fri Jul 04 15:18:35 WIB 2025","failed","Fri Jul 04 15:18:41 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","2116","Check Accessibility on Element","Mobile Chrome","Fri Jul 04 15:18:44 WIB 2025","failed","Fri Jul 04 15:18:46 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","335","get products","chromium","Fri Jul 04 15:18:43 WIB 2025","passed","Fri Jul 04 15:18:43 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","2622","Check Accessibility Entire Page","Mobile Chrome","Fri Jul 04 15:18:44 WIB 2025","failed","Fri Jul 04 15:18:46 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","1028","login success","chromium","Fri Jul 04 15:18:42 WIB 2025","passed","Fri Jul 04 15:18:43 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","3021","Check Accessibility with tags","Mobile Chrome","Fri Jul 04 15:18:47 WIB 2025","failed","Fri Jul 04 15:18:50 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","273","get products","Mobile Chrome","Fri Jul 04 15:18:50 WIB 2025","passed","Fri Jul 04 15:18:50 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","2616","Check Accessibility on spesific rule","Mobile Chrome","Fri Jul 04 15:18:48 WIB 2025","failed","Fri Jul 04 15:18:50 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","3765","Check Accessibility with disable rules","Mobile Chrome","Fri Jul 04 15:18:47 WIB 2025","failed","Fri Jul 04 15:18:51 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","967","login success","Mobile Chrome","Fri Jul 04 15:18:49 WIB 2025","passed","Fri Jul 04 15:18:50 WIB 2025","login test case","api/spec/dummyjson.spec.ts","",""
"","6311","Check Accessibility exclude Element","chromium","Fri Jul 04 15:18:35 WIB 2025","failed","Fri Jul 04 15:18:41 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
"","2838","Check Accessibility on spesific rule","chromium","Fri Jul 04 15:18:42 WIB 2025","failed","Fri Jul 04 15:18:45 WIB 2025","Accessibility Test","api/spec/accessibility.spec.ts","",""
